Date,Open,High,Low,Close,Adj Close,Volume
2018-07-17,377.899994,385.899994,375.600006,380.799988,370.620026,12586691
2018-07-18,381.899994,388.000000,378.000000,383.649994,373.393860,10472260
2018-07-19,380.950012,394.350006,379.399994,392.299988,381.812592,17050256
2018-07-20,391.100006,392.500000,385.299988,386.500000,376.167664,10076070
2018-07-23,387.899994,392.350006,382.750000,386.600006,376.265015,9511403
2018-07-24,389.200012,390.000000,382.700012,384.350006,374.075134,9785989
2018-07-25,386.000000,392.700012,381.500000,382.899994,372.663879,12467278
2018-07-26,385.000000,386.299988,358.549988,369.750000,359.865448,35251243
2018-07-27,374.899994,374.899994,362.399994,370.000000,360.108734,17100821
2018-07-30,372.000000,373.000000,365.250000,369.299988,359.427460,11469162
2018-07-31,370.000000,374.700012,366.399994,367.950012,358.113556,9734450
2018-08-01,369.899994,371.549988,362.000000,365.850006,356.069702,7742871
2018-08-02,364.950012,365.649994,356.649994,361.799988,352.127960,8365895
2018-08-03,364.000000,374.000000,364.000000,373.200012,363.223206,10625834
2018-08-06,374.000000,380.700012,373.450012,377.899994,367.797546,12018227
2018-08-07,380.000000,386.399994,376.500000,381.649994,371.447327,13526041
2018-08-08,382.600006,385.750000,379.549988,382.750000,372.517914,6767532
2018-08-09,383.500000,384.700012,377.649994,381.049988,370.863342,5854134
2018-08-10,382.000000,391.000000,381.000000,382.850006,372.615234,13916077
2018-08-13,379.000000,383.000000,368.299988,370.700012,360.790070,9205915
2018-08-14,369.000000,384.299988,368.149994,382.500000,372.274597,12351125
2018-08-16,381.200012,384.850006,374.200012,378.450012,368.332855,11567658
2018-08-17,382.399994,395.649994,380.299988,393.200012,382.688568,16094026
2018-08-20,396.799988,404.000000,392.549988,394.000000,383.467163,15247130
2018-08-21,396.000000,397.450012,389.500000,391.350006,380.888000,9991245
2018-08-23,395.250000,395.500000,383.350006,388.600006,378.211517,9262319
2018-08-24,387.000000,388.700012,372.850006,374.200012,364.196503,16301075
2018-08-27,378.000000,384.649994,377.000000,383.000000,372.761230,9563369
2018-08-28,386.000000,386.000000,362.799988,370.600006,360.692719,26309238
2018-08-29,373.649994,378.549988,362.000000,365.149994,355.388397,30544751
2018-08-30,369.000000,369.000000,358.000000,361.750000,352.079285,28157288
2018-08-31,343.000000,350.000000,336.250000,343.500000,334.317200,84019022
2018-09-03,347.950012,348.000000,337.200012,339.049988,329.986145,26137760
2018-09-04,340.750000,343.399994,332.549988,334.049988,325.119812,22057643
2018-09-05,332.899994,344.899994,332.250000,343.799988,334.609161,24809578
2018-09-06,346.549988,347.799988,337.899994,339.200012,330.132141,17527530
2018-09-07,341.000000,341.049988,321.799988,323.399994,314.754517,48830425
2018-09-10,323.649994,328.899994,316.000000,323.649994,314.997833,43295622
2018-09-11,326.000000,327.850006,314.600006,316.600006,308.136292,28553718
2018-09-12,318.000000,319.950012,310.600006,314.299988,305.897766,26121445
2018-09-14,318.500000,328.500000,316.700012,323.100006,314.462524,36624891
2018-09-17,317.500000,321.850006,315.950012,318.600006,310.082855,18554055
2018-09-18,319.350006,328.950012,319.100006,323.549988,314.900513,30243505
2018-09-19,326.000000,328.750000,318.049988,319.200012,310.666809,16185496
2018-09-21,287.299988,287.299988,218.100006,226.500000,220.444946,293552756
2018-09-24,236.500000,237.500000,215.850006,226.399994,220.347626,105701372
2018-09-25,230.000000,238.850006,197.250000,219.699997,213.826736,110217421
2018-09-26,223.000000,229.800003,217.000000,223.750000,217.768478,62814786
2018-09-27,226.000000,227.000000,202.050003,203.250000,197.816498,91197198
2018-09-28,203.600006,204.000000,165.000000,183.649994,178.740448,148654874
2018-10-01,180.000000,203.800003,170.600006,200.850006,195.480667,130992623
2018-10-03,205.000000,222.949997,202.250000,212.750000,207.062531,97945695
2018-10-04,209.399994,220.000000,205.050003,215.000000,209.252396,65604016
2018-10-05,215.000000,218.500000,203.100006,206.000000,200.492981,40546788
2018-10-08,210.000000,226.600006,207.399994,221.199997,215.286636,62349640
2018-10-09,225.500000,233.800003,222.600006,224.649994,218.644409,49480210
2018-10-10,229.000000,237.000000,219.399994,233.899994,227.647125,52351177
2018-10-11,222.000000,268.950012,216.649994,240.199997,233.778717,94679663
2018-10-12,247.000000,254.399994,244.500000,246.449997,239.861618,43535321
2018-10-15,248.949997,250.600006,241.550003,246.000000,239.423660,24694397
2018-10-16,247.000000,251.399994,245.600006,248.899994,242.246124,18099074
2018-10-17,252.500000,254.850006,228.500000,231.899994,225.700592,37767849
2018-10-19,225.000000,230.550003,213.000000,217.899994,212.074860,50336402
2018-10-22,221.000000,222.350006,208.500000,211.500000,205.845963,33633639
2018-10-23,209.000000,216.699997,206.500000,213.199997,207.500504,28293781
2018-10-24,217.500000,220.000000,202.000000,204.000000,198.546448,38009322
2018-10-25,202.600006,207.500000,195.000000,198.350006,193.047501,59170164
2018-10-26,178.550003,191.649994,168.600006,180.699997,175.869339,95760078
2018-10-29,185.000000,185.899994,174.750000,181.300003,176.453293,52331613
2018-10-30,182.000000,189.899994,180.649994,182.050003,177.183243,43428186
2018-10-31,185.000000,189.500000,179.649994,188.100006,183.071503,53264490
2018-11-01,192.000000,205.750000,189.050003,204.050003,198.595108,69202992
2018-11-02,212.750000,215.899994,207.649994,209.100006,203.510117,51686587
2018-11-05,209.000000,212.350006,206.100006,210.100006,204.483383,21134350
2018-11-06,212.250000,217.899994,211.000000,214.449997,208.717087,26924066
2018-11-07,217.449997,218.000000,215.500000,215.949997,210.176987,3962712
2018-11-09,214.000000,229.399994,213.199997,227.899994,221.807526,40754087
2018-11-12,230.000000,230.850006,221.100006,223.050003,217.087189,29069172
2018-11-13,222.000000,226.850006,220.000000,225.449997,219.423019,19012403
2018-11-14,226.899994,229.000000,221.000000,222.399994,216.454559,19780790
2018-11-15,215.000000,217.949997,202.250000,205.850006,200.347000,60944632
2018-11-16,201.750000,201.750000,187.800003,191.000000,185.893982,88101871
2018-11-19,198.100006,205.949997,194.350006,204.800003,199.325058,64329717
2018-11-20,198.000000,199.750000,191.000000,192.100006,186.964584,77354754
2018-11-21,196.100006,200.800003,194.600006,198.149994,192.852844,47627190
2018-11-22,200.000000,203.850006,194.649994,195.550003,190.322342,44350629
2018-11-26,189.000000,191.949997,182.199997,187.899994,182.876846,60418383
2018-11-27,193.000000,193.800003,180.350006,182.649994,177.767197,70065939
2018-11-28,180.399994,181.000000,160.300003,162.100006,157.766571,140720495
2018-11-29,157.050003,167.000000,146.750000,160.449997,156.160675,292043464
2018-11-30,164.000000,171.350006,160.449997,169.800003,165.260727,120153166
2018-12-03,174.000000,179.500000,165.300003,178.000000,173.241516,104720593
2018-12-04,180.350006,182.449997,175.250000,176.500000,171.781601,68038860
2018-12-05,173.500000,178.449997,172.199997,173.399994,168.764465,52289539
2018-12-06,169.000000,172.500000,167.350006,168.449997,163.946808,38867660
